,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-02-24,0.9999999991327971,0.0,0.0,37172386.0,2.0,0.0
2020-02-25,0.3142508219753569,0.0,0.0,37172385.21129105,2.2483441523752306,0.540364789875981
2020-02-26,1.0,0.0,0.0,37172384.32465311,2.527523613139813,1.1478232703603524
2020-02-27,1.0,0.0,0.0,37172383.32791897,2.841369517813783,1.830711514292908
2020-02-28,1.0,0.0,0.0,37172382.2071926,3.1942573560406267,2.5985500487480575
2020-02-29,1.0,0.0,0.0,37172380.947350055,3.5909492608238094,3.461700685405723
2020-03-01,1.0,0.0,0.0,37172379.531508535,4.036761185013581,4.431730278976534
2020-03-02,1.0,0.0,0.0,37172377.94011393,4.537850200609183,5.522035869654289
2020-03-03,1.0,0.0,0.0,37172376.15093731,5.1012156026959925,6.747847085207929
2020-03-04,1.0,0.0,0.0,37172374.13907495,5.734698909445521,8.126226140981549
2020-03-05,1.0,0.0,0.0,37172371.8769483,6.446983862115412,9.676067839894385
2020-03-06,1.0,0.0,0.0,37172369.33409884,7.247661022697688,11.41824013986058
2020-03-07,1.0,0.0,0.0,37172366.47396199,8.148243538872826,13.377794476970301
2020-03-08,4.0,0.0,0.0,37172363.25980578,9.160297334899829,15.579896884920243
2020-03-09,4.0,0.0,0.0,37172359.64958721,10.297060638282224,18.053352153507106
2020-03-10,5.0,0.0,0.0,37172355.593640365,11.574171874421864,20.83218776474196
2020-03-11,7.0,0.0,0.0,37172351.03467644,13.009669666618935,23.955653892850243
2020-03-12,7.0,0.0,0.0,37172345.90778376,14.623992836071945,27.468223404271768
2020-03-13,7.0,0.0,0.0,37172340.14042774,16.43998040187774,31.41959185766072
2020-03-14,11.0,0.0,0.0,37172333.65245091,18.482871581031496,35.86467750388566
2020-03-15,16.0,0.0,0.0,37172326.356072925,20.780305788426702,40.8636212860295
2020-03-16,21.0,1.0,0.0,37172318.155890524,23.3623226368552,46.48178683938956
2020-03-17,22.0,1.0,0.0,37172308.9362169,26.26534776583905,52.79843533548348
2020-03-18,22.0,1.0,0.0,37172298.5688631,29.529743654260955,59.901393246642556
2020-03-19,22.0,1.0,0.0,37172286.92678652,33.195512927785835,67.87770055485834
2020-03-20,24.0,1.0,0.0,37172273.8555029,37.31129815029006,76.83319894587552
2020-03-21,24.0,1.0,0.0,37172259.172748856,41.93448807656215,86.8927630668387
2020-03-22,40.0,1.0,1.0,37172242.66848182,47.13121765230274,98.20030052629215
2020-03-23,40.0,1.0,1.0,37172224.104880095,52.976368014124645,110.91875189418003
2020-03-24,74.0,1.0,1.0,37172203.21634281,59.55356648955279,125.23009070184627
2020-03-25,84.0,2.0,2.0,37172179.709489964,66.9551865970243,141.33532344203456
2020-03-26,94.0,2.0,4.0,37172153.26316239,75.28234804588834,159.45448956888845
2020-03-27,110.0,2.0,4.0,37172123.52842177,84.64491673640633,179.82666149795136
2020-03-28,110.0,2.0,4.0,37172090.127112515,95.16195724179035,202.7109302411192
2020-03-29,120.0,2.0,4.0,37172052.55482152,106.99226826418189,228.45291021766627
2020-03-30,170.0,2.0,4.0,37172010.324929096,120.28906915265456,257.3860017528555
2020-03-31,174.0,5.0,4.0,37171962.919327475,135.21550232720256,289.8651701935462
2020-04-01,237.0,5.0,4.0,37171909.70591163,151.97059218154064,326.32349618763874
2020-04-02,273.0,10.0,6.0,37171849.93857923,170.7892450831041,367.2721756840748
2020-04-03,281.0,10.0,6.0,37171782.75723069,191.94224937304892,413.3005199328376
2020-04-04,299.0,10.0,7.0,37171707.187769145,215.73627536625156,465.0759554849509
2020-04-05,349.0,15.0,7.0,37171622.14210045,242.51387535130914,523.3440241924802
2020-04-06,367.0,18.0,11.0,37171526.4181332,272.6534835905393,588.9283832085324
2020-04-07,423.0,18.0,14.0,37171418.69977869,306.5694163199803,662.7308049872552
2020-04-08,444.0,29.0,14.0,37171297.556950964,344.711871749391,745.7311772838375
2020-04-09,484.0,32.0,15.0,37171161.44556678,387.5669300622508,838.98750315451
2020-04-10,521.0,32.0,15.0,37171008.49245643,435.7240739536331,943.7834696145552
2020-04-11,555.0,32.0,18.0,37170836.432103015,489.8962300235786,1061.6716669558202
2020-04-12,607.0,32.0,18.0,37170643.24053498,550.7208559433261,1194.0386090714355
2020-04-13,665.0,32.0,21.0,37170426.43232144,618.9805023665776,1342.5871761941735
2020-04-14,714.0,40.0,23.0,37170183.02810964,695.6129999653778,1509.3588903905531
2020-04-15,784.0,43.0,25.0,37169909.554625005,781.7114594301145,1696.7339155608393
2020-04-16,840.0,54.0,30.0,37169602.04467109,878.5242714695185,1907.4310574390436
2020-04-17,906.0,99.0,30.0,37169256.037129596,987.455106810663,2144.507763592922
2020-04-18,933.0,112.0,30.0,37168866.57696037,1110.062916198965,2411.360123423978
2020-04-19,0.0,,,37168428.21520143,1248.061930398184,2711.722868167463
2020-04-20,0.0,,,37167935.00896891,1403.3216601904223,3049.669370892369
2020-04-21,0.0,,,37167380.52145712,1577.8668963761256,3429.611646501441
2020-04-22,0.0,,,37166757.81940666,1773.878495196156,3856.3020981383884
2020-04-23,0.0,,,37166057.57084418,1994.28459859334,4336.144557224208
2020-04-24,0.0,,,37165270.40041547,2242.034100254484,4875.565484269138
2020-04-25,0.0,,,37164386.89494784,2520.0936560448017,5481.011396105576
2020-04-26,0.0,,,37163395.461114936,2832.1115756506542,6160.427309408067
2020-04-27,0.0,,,37162282.32543672,3182.417822579555,6923.256740693316
2020-04-28,0.0,,,37161031.53427952,3576.0240141601653,7780.441706320176
2020-04-29,0.0,,,37159624.95385596,4018.6234215423,8744.422722489653
2020-04-30,0.0,,,37158042.270225056,4516.590969696918,9829.138805244907
2020-05-01,0.0,,,37156260.98929211,5076.983237416136,11050.027470471256
2020-05-02,0.0,,,37154256.43680879,5707.538457313217,12424.024733896162
2020-05-03,0.0,,,37152001.75837308,6416.676515822569,13969.565111089243
2020-05-04,0.0,,,37149467.91942933,7213.498953199759,15706.581617462274
2020-05-05,0.0,,,37146623.387214385,8107.882194900886,17656.73059070991
2020-05-06,0.0,,,37143424.82823358,9113.238060549855,19849.933705868174
2020-05-07,0.0,,,37139831.78182262,10242.297592406378,22313.920584969546
2020-05-08,0.0,,,37135800.47334959,11508.883505762948,25078.643144640584
2020-05-09,0.0,,,37131277.70902453,12929.688189269371,28180.602786189647
2020-05-10,0.0,,,37126200.87589946,14524.273704932762,31662.850395606903
2020-05-11,0.0,,,37120497.94186831,16315.071788117555,35574.98634356435
2020-05-12,0.0,,,37114087.455667034,18327.383847545494,39973.16048541577
2020-05-13,0.0,,,37106878.5468735,20589.380965295626,44920.07216119676
2020-05-14,0.0,,,37098770.92590757,23132.103896804332,50484.970195624766
2020-05-15,0.0,,,37089654.88403103,25989.46307086528,56743.65289809897
2020-05-16,0.0,,,37079411.293347664,29198.23858962948,63778.46806270043
2020-05-17,0.0,,,37067911.6068032,32798.08022860522,71678.312968192
2020-05-18,0.0,,,37055016.49881956,36831.906687675044,80539.5944927628
2020-05-19,0.0,,,37040548.057218395,41354.181808273526,90485.76097333219
2020-05-20,0.0,,,37024312.8338711,46424.163564276096,101651.00256462385
2020-05-21,0.0,,,37006098.70941312,52106.448536371274,114182.84205051116
2020-05-22,0.0,,,36985666.95743236,58473.255229761504,128247.78733787517
2020-05-23,0.0,,,36962752.24446923,65604.42407416322,144031.33145660476
