,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-03-09,2.0,0.0,0.0,2866376.0,2.0,0.0
2020-03-10,10.0,0.0,0.0,2866375.9418429625,2.0581570173396817,2.028939616402959e-08
2020-03-11,12.0,0.0,1.0,2866375.8819948076,2.1180051515746428,4.116877728967991e-08
2020-03-12,23.0,0.0,1.0,2866375.8204057063,2.1795942312622754,6.265552724301164e-08
2020-03-13,33.0,0.0,1.0,2866375.75702211,2.2429778056477456,8.476832795515713e-08
2020-03-14,38.0,0.0,1.0,2866375.691793426,2.3082064669721145,1.0752482971242581e-07
2020-03-15,42.0,0.0,1.0,2866375.6246677972,2.375332072055072,1.3094312397876746e-07
2020-03-16,51.0,0.0,1.0,2866375.555591343,2.4444085020773656,1.5504200846819902e-07
2020-03-17,55.0,0.0,1.0,2866375.4845081577,2.515491662580798,1.7984098714480482e-07
2020-03-18,59.0,0.0,2.0,2866375.4113603113,2.5886394834682305,2.0536027022273621e-07
2020-03-19,64.0,0.0,2.0,2866375.33608785,2.663911919003578,2.31620774166212e-07
2020-03-20,70.0,0.0,2.0,2866375.258628794,2.7413709478118147,2.586441216895182e-07
2020-03-21,76.0,2.0,2.0,2866375.178919141,2.8210805728789703,2.8645264175700793e-07
2020-03-22,89.0,2.0,2.0,2866375.0968928635,2.903106821552131,3.150693695831017e-07
2020-03-23,104.0,2.0,4.0,2866375.01248191,2.98751774553944,3.4451804663228714e-07
2020-03-24,123.0,10.0,5.0,2866374.9256162047,3.0743834209100966,3.7482312061911926e-07
2020-03-25,146.0,17.0,5.0,2866374.836223646,3.1637759480943566,4.0600974550822024e-07
2020-03-26,174.0,17.0,6.0,2866374.74423011,3.255769451883534,4.3810378151427943e-07
2020-03-27,186.0,31.0,8.0,2866374.6495594475,3.350440081429997,4.7113179510205366e-07
2020-03-28,197.0,31.0,10.0,2866374.5521334847,3.4478660102471714,5.051210589863668e-07
2020-03-29,212.0,33.0,10.0,2866374.451872024,3.5481274362095405,5.400995521321098e-07
2020-03-30,223.0,44.0,11.0,2866374.3486928428,3.6513065815526433,5.760959597542414e-07
2020-03-31,243.0,52.0,15.0,2866374.2425116943,3.7574876928730747,6.131396733177871e-07
2020-04-01,259.0,67.0,15.0,2866374.133242308,3.866757041128488,6.512607905378397e-07
2020-04-02,277.0,76.0,16.0,2866374.0207963884,3.979202921637592,6.904901153795595e-07
2020-04-03,304.0,89.0,17.0,2866373.9050836153,4.094915654080151,7.308591580581735e-07
2020-04-04,333.0,99.0,20.0,2866373.785990799,4.21400842890332,7.724074083188896e-07
2020-04-05,361.0,104.0,20.0,2866373.6633871617,4.336612023373847,8.151804918952885e-07
2020-04-06,377.0,116.0,21.0,2866373.5371884513,4.462810689820564,8.592078019838217e-07
2020-04-07,383.0,131.0,22.0,2866373.4073068914,4.59269220454032,9.045199612008095e-07
2020-04-08,400.0,154.0,22.0,2866373.273649537,4.726349512016492,9.511493952473801e-07
2020-04-09,409.0,165.0,23.0,2866373.1361182765,4.86388072491899,9.991303329094695e-07
2020-04-10,416.0,182.0,23.0,2866372.9946098276,5.005389124104248,1.0484988060578211e-06
2020-04-11,433.0,197.0,23.0,2866372.8490157425,5.150983158615233,1.0992926496479863e-06
2020-04-12,446.0,217.0,23.0,2866372.699222403,5.30077644568144,1.151551501720324e-06
2020-04-13,467.0,232.0,23.0,2866372.5451110243,5.454887770718893,1.205316803400001e-06
2020-04-14,475.0,248.0,24.0,2866372.3865576526,5.613441087330147,1.2606317988969912e-06
2020-04-15,494.0,251.0,25.0,2866372.2234331653,5.776565517304282,1.3175415355060773e-06
2020-04-16,518.0,277.0,26.0,2866372.0556032737,5.944395350616911,1.3760928636068486e-06
2020-04-17,539.0,283.0,26.0,2866371.8829285186,6.117070045430175,1.4363344366637025e-06
2020-04-18,548.0,302.0,26.0,2866371.705264274,6.2947342280927465,1.4983167112258445e-06
2020-04-19,0.0,,,2866371.522460745,6.477537693139823,1.5620919469272873e-06
2020-04-20,0.0,,,2866371.3343629693,6.665635403293132,1.627714206486851e-06
