,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-02-25,1.0,0.0,0.0,42228429.0,2.0,0.0
2020-02-26,0.9943923496222197,0.0,0.0,42228428.09320644,2.30174430509289,0.6050492545287963
2020-02-27,1.0,0.0,0.0,42228427.04961527,2.649009317197532,1.3013754078770268
2020-02-28,1.0,0.0,0.0,42228425.848543264,3.048677576471745,2.1027791608937916
2020-02-29,1.0,0.0,0.0,42228424.46592739,3.5087562705369058,3.025316340568389
2020-03-01,1.0,0.0,0.0,42228422.87519252,4.038088521145049,4.086718959701344
2020-03-02,3.0,0.0,0.0,42228421.04497798,4.647109878568427,5.307912145453627
2020-03-03,5.0,0.0,0.0,42228418.93845505,5.348075422954782,6.713469526604656
2020-03-04,12.0,0.0,0.0,42228416.513327,6.155059764327346,8.331613233552288
2020-03-05,12.0,0.0,0.0,42228413.72182906,7.083957042584839,10.194213898312828
2020-03-06,17.0,0.0,0.0,42228410.508645445,8.15317402612712,12.338180523486717
2020-03-07,17.0,0.0,0.0,42228406.81013685,9.383887211981865,14.805975939781423
2020-03-08,19.0,0.0,0.0,42228402.55774229,10.798910887122405,17.64334682183868
2020-03-09,20.0,0.0,0.0,42228397.66758958,12.426154209723379,20.906256204139275
2020-03-10,20.0,0.0,0.0,42228392.03999794,14.2987867040354,24.66121534943607
2020-03-11,20.0,0.0,0.0,42228385.55947799,16.455238260385062,28.985283748754057
2020-03-12,24.0,8.0,1.0,42228378.09473174,18.93919913517494,33.96606912139029
2020-03-13,26.0,8.0,2.0,42228369.49865263,21.79961995088358,39.70172741491399
2020-03-14,37.0,12.0,3.0,42228359.6083255,25.09071169606552,46.3009628051664
2020-03-15,48.0,12.0,4.0,42228348.22188435,28.87964549528918,53.898470158119665
2020-03-16,54.0,12.0,4.0,42228335.12133331,33.238960769359394,62.63970591666295
2020-03-17,60.0,12.0,4.0,42228320.06714096,38.24836376819722,72.68449526942288
2020-03-18,74.0,12.0,7.0,42228302.76175855,44.00686520817757,84.23137623982916
2020-03-19,87.0,32.0,9.0,42228282.849611074,50.63278325435131,97.51760566738733
2020-03-20,90.0,32.0,11.0,42228259.91709727,58.26374352044522,112.81915920767875
2020-03-21,139.0,32.0,15.0,42228233.49258959,67.0566790688621,130.45073133236082
2020-03-22,201.0,65.0,17.0,42228203.04643426,77.18783041068065,150.7657353291667
2020-03-23,230.0,65.0,17.0,42228167.99095119,88.85274550565553,174.15630330190544
2020-03-24,264.0,24.0,19.0,42228127.67669513,102.26752316059617,201.05578170301467
2020-03-25,302.0,65.0,21.0,42228081.2494764,117.7163669127119,232.03415667936738
2020-03-26,367.0,29.0,25.0,42228027.85859466,135.4823522827341,267.6590530498593
2020-03-27,409.0,29.0,26.0,42227966.52601175,155.89092920719622,308.58305903741393
2020-03-28,454.0,31.0,29.0,42227896.03473532,179.34703865539552,355.61822602188965
2020-03-29,511.0,31.0,31.0,42227814.92881883,206.335112629393,409.73606854008005
2020-03-30,584.0,37.0,35.0,42227721.51336154,237.4190741640132,472.06756428571373
2020-03-31,716.0,46.0,44.0,42227613.85450856,273.2423373268447,543.903154109454
2020-04-01,847.0,61.0,58.0,42227489.77945076,314.52780721823945,626.6927420188998
2020-04-02,986.0,61.0,86.0,42227346.87642485,362.07787997131345,722.0456951785848
2020-04-03,1171.0,62.0,105.0,42227182.494713336,416.77444275194614,831.7308439099774
2020-04-04,1251.0,90.0,130.0,42226993.350131616,479.7098384627242,957.9400299169515
2020-04-05,1320.0,90.0,152.0,42226775.63813005,552.1496511819796,1103.2122187670761
2020-04-06,1423.0,90.0,173.0,42226525.546081044,635.3627158566944,1270.0912030952243
2020-04-07,1468.0,113.0,193.0,42226238.243064724,730.9562888675969,1461.8006464024832
2020-04-08,1572.0,237.0,205.0,42225907.86087636,840.8823505558491,1682.2567730771607
2020-04-09,1666.0,347.0,235.0,42225527.49402638,967.4376052230475,1936.068368394785
2020-04-10,1761.0,405.0,256.0,42225089.19974034,1113.2634811312214,2228.5367785181043
2020-04-11,1825.0,460.0,275.0,42224583.997958995,1281.346130502834,2565.655910497088
2020-04-12,1914.0,591.0,293.0,42224001.8713382,1475.016429520782,2954.1122322689243
2020-04-13,1983.0,601.0,313.0,42223331.76524901,1697.9499783283968,3401.284772658024
2020-04-14,2070.0,691.0,326.0,42222561.41703497,1954.2232484098338,3915.3597166111254
2020-04-15,2160.0,708.0,336.0,42221674.24098502,2249.3406305216213,4507.418384449381
2020-04-16,2268.0,783.0,348.0,42220654.32221357,2588.59860332316,5188.079183103816
2020-04-17,2418.0,846.0,364.0,42219483.050030485,2978.1900450702806,5969.759924437163
2020-04-18,2534.0,894.0,367.0,42218137.22571332,3425.825758337864,6867.948528333982
2020-04-19,0.0,,,42216589.06250727,3940.7344700198414,7901.203022700656
2020-04-20,0.0,,,42214806.185625196,4533.662831329194,9091.151543465401
2020-04-21,0.0,,,42212751.63224762,5216.875417797954,10462.492334578252
2020-04-22,0.0,,,42210383.85152271,6004.154729277201,12042.993748011071
2020-04-23,0.0,,,42207656.7045663,6910.801189937067,13863.49424375756
2020-04-24,0.0,,,42204519.46446189,7953.633148266736,15957.902389833227
2020-04-25,0.0,,,42200913.301102564,9152.094827383044,18365.604070044174
2020-04-26,0.0,,,42196762.209749736,10531.213173284104,21137.577076973786
2020-04-27,0.0,,,42191994.10631563,12115.044807556184,24321.848876806886
2020-04-28,0.0,,,42186519.67745446,13933.25792843596,27978.064617098644
2020-04-29,0.0,,,42180229.65768221,16021.984043461924,32179.358274325397
2020-04-30,0.0,,,42172994.82937664,18423.817969474392,37012.3526538847
2020-05-01,0.0,,,42164666.02277728,21187.817832615503,42577.15939009527
2020-05-02,0.0,,,42155074.11598547,24369.505068329196,48987.37894619707
2020-05-03,0.0,,,42144030.03496428,28030.864421361242,56370.10061435116
2020-05-04,0.0,,,42131324.75353859,32240.34394575924,64865.9025156399
2020-05-05,0.0,,,42116729.29339506,37072.85500487258,74628.85160006672
2020-05-06,0.0,,,42099970.32467562,42615.59685092277,85845.07847345118
2020-05-07,0.0,,,42080720.521169454,48973.790768557024,98736.68806197747
2020-05-08,0.0,,,42058640.70351415,56261.493618237706,113528.80286760161
2020-05-09,0.0,,,42033317.39171482,64614.3417230016,130499.26656217294
2020-05-10,0.0,,,42004260.98747851,74189.94571821557,149980.06680326315
2020-05-11,0.0,,,41970905.774214245,85167.8905515766,172357.3352341662
2020-05-12,0.0,,,41932609.91703298,97749.73548311161,198071.34748389848
2020-05-13,0.0,,,41888655.46274761,112159.01408517773,227616.52316719864
2020-05-14,0.0,,,41838248.339873,128641.23424246206,261541.42588452768
2020-05-15,0.0,,,41780518.35862594,147463.8781519818,300448.7632220689
2020-05-16,0.0,,,41714519.21092518,168916.40232308427,344995.386751728
2020-05-17,0.0,,,41639173.332806915,193305.54345427832,395952.12373879115
2020-05-18,0.0,,,41553171.99902155,221023.4923799506,454235.50859848224
2020-05-19,0.0,,,41455067.42570005,252516.0897595823,520847.4845403502
2020-05-20,0.0,,,41343273.50433417,288237.6320535375,596919.8636122858
2020-05-21,0.0,,,41216065.758237526,328650.8346244674,683714.407137996
2020-05-22,0.0,,,41071581.34254567,374226.83173731074,782622.825717004
2020-05-23,0.0,,,40907819.044216044,425445.1765592932,895166.7792246493
2020-05-24,0.0,,,40722639.282027975,482793.8411599276,1022997.8768120876
