,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-03-20,1.0,0.0,0.0,30809762.0,2.0,0.0
2020-03-21,1.993276062402848,0.0,0.0,30809761.278330427,2.7216695499241514,2.3423406574798832e-08
2020-03-22,2.0,0.0,0.0,30809760.295992743,3.7040072007612364,5.530738292957639e-08
2020-03-23,3.0,0.0,0.0,30809758.959927943,5.04007195975684,9.867236925600864e-08
2020-03-24,3.0,0.0,0.0,30809757.14287359,6.85712625243512,1.5764895525338004e-07
2020-03-25,3.0,0.0,0.0,30809754.66681457,9.33318519119631,2.380150258045135e-07
2020-03-26,4.0,0.0,0.0,30809751.29563079,12.704368864875295,3.474343990871771e-07
2020-03-27,4.0,0.0,0.0,30809746.71645884,17.283540665494574,4.960617721098244e-07
2020-03-28,5.0,0.0,0.0,30809740.497743156,23.502256145828817,6.979042668484434e-07
2020-03-29,7.0,0.0,2.0,30809732.015673954,31.98432507434291,9.732090904462627e-07
2020-03-30,7.0,0.0,2.0,30809720.449897964,43.55010069004119,1.3486027550544518e-06
2020-03-31,7.0,1.0,2.0,30809704.712199327,59.287798815392364,1.8594060318032095e-06
2020-04-01,8.0,1.0,2.0,30809683.37147174,80.62852571072482,2.5520688674361944e-06
2020-04-02,8.0,1.0,2.0,30809654.397533808,109.60246270044024,3.492485741568713e-06
2020-04-03,8.0,1.0,2.0,30809614.84807684,149.15191838485885,4.77615727078892e-06
2020-04-04,10.0,2.0,2.0,30809560.863719203,203.13627427149316,6.5283507427059735e-06
2020-04-05,14.0,2.0,2.0,30809487.42946649,276.5705246005755,8.911844946081384e-06
2020-04-06,16.0,2.0,2.0,30809387.76738857,376.23259928394316,1.214663954197516e-05
2020-04-07,17.0,2.0,2.0,30809252.727068257,511.2729152153449,1.6529735699352625e-05
2020-04-08,19.0,2.0,2.0,30809068.58702068,695.4129568140052,2.2506523953995937e-05
2020-04-09,19.0,2.0,2.0,30808816.913578693,947.08639063394,3.067536623190937e-05
2020-04-10,19.0,2.0,2.0,30808474.406912316,1289.5930458935109,4.1792603495056346e-05
2020-04-11,19.0,4.0,2.0,30808008.49594154,1755.5040015477532,5.6915691645839105e-05
2020-04-12,19.0,4.0,2.0,30807378.18052348,2385.8193991438648,7.73753701529442e-05
2020-04-13,19.0,4.0,2.0,30806521.20662852,3242.7932662899216,0.00010519271772805699
2020-04-14,19.0,5.0,2.0,30805349.979356203,4414.020500584099,0.00014321209196612697
2020-04-15,19.0,5.0,2.0,30803751.562935285,6012.436869614674,0.0001951011293453677
2020-04-16,19.0,5.0,2.0,30801578.286367618,8185.713366726226,0.00026565846601490624
2020-04-17,19.0,5.0,2.0,30798631.276753157,11132.722885497838,0.0003613439324369939
2020-04-18,24.0,6.0,2.0,30794639.561967168,15124.43754187811,0.0004909557309289236
2020-04-19,0.0,,,30789196.837788314,20567.16154398013,0.0006677071265653901
2020-04-20,0.0,,,30781758.60314495,28005.39594572776,0.0009093205286263043
2020-04-21,0.0,,,30771640.315322656,38123.68343925275,0.0012380910991229913
2020-04-22,0.0,,,30757892.944447137,51871.05386778973,0.0016850716167385836
2020-04-23,0.0,,,30739297.991424404,70466.00628577235,0.002289825488736294
2020-04-24,0.0,,,30714049.004290003,95714.99259860872,0.0031113882059231853
2020-04-25,0.0,,,30679621.154810928,130142.84095627716,0.004232795303731083
2020-04-26,0.0,,,30632771.238485593,176992.75575332632,0.005761082362216575
2020-04-27,0.0,,,30569372.93520422,240391.0569614371,0.007834343893500864
2020-04-28,0.0,,,30483745.76538241,326018.22397634364,0.010641246999936276
2020-04-29,0.0,,,30368105.98478333,441658.0007771448,0.014439524155573844
2020-04-30,0.0,,,30211772.70907981,597991.2713232306,0.019596958389072563
2020-05-01,0.0,,,30001130.281406626,808633.6920001035,0.026593270938450306
2020-05-02,0.0,,,29719822.40218146,1089941.5617933157,0.036025222620908764
2020-05-03,0.0,,,29346843.691145513,1462920.2601623647,0.048692122411898436
2020-05-04,0.0,,,28852146.388033256,1957617.5462951416,0.0656716007645596
2020-05-05,0.0,,,28203226.63141674,2606537.2802276807,0.08835557463991214
2020-05-06,0.0,,,27366011.48169139,3443752.3998521897,0.1184564167753997
2020-05-07,0.0,,,26305417.00440221,4504346.837607002,0.1579907894335954
2020-05-08,0.0,,,24993406.750656396,5816357.040172499,0.20917110616302642
2020-05-09,0.0,,,23398914.965787955,7410848.759162674,0.2750493726114009
2020-05-10,0.0,,,21520104.486501493,9289659.154979309,0.3585191984216345
