,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-03-03,0.9999997728718583,0.0,0.0,44494502.0,2.0,0.0
2020-03-04,0.9997451078327292,0.0,0.0,44494501.032570735,2.3583238825122987,0.6091053784986332
2020-03-05,1.0,0.0,0.0,44494499.89183982,2.7808365468870493,1.3273236311383125
2020-03-06,2.0,0.0,0.0,44494498.546687424,3.279064382370099,2.174248191744977
2020-03-07,8.0,0.0,0.0,44494496.96012875,3.866706087774594,3.173165164258112
2020-03-08,12.0,0.0,1.0,44494495.09013361,4.559329110064901,4.350537284374455
2020-03-09,12.0,0.0,1.0,44494492.88564778,5.3758432754931,5.738508943838469
2020-03-10,17.0,0.0,1.0,44494490.28546306,6.338919309919367,7.375617635360847
2020-03-11,19.0,0.0,1.0,44494487.21821721,7.474988838811975,9.306793952618497
2020-03-12,19.0,0.0,1.0,44494483.6013029,8.814648513989003,11.584048592634634
2020-03-13,31.0,0.0,2.0,44494479.33487046,10.394881252329398,14.270248294951971
2020-03-14,34.0,1.0,2.0,44494474.309659116,12.256155843626988,17.434185046940417
2020-03-15,45.0,1.0,2.0,44494468.38934437,14.448965022394903,21.161690610583655
2020-03-16,56.0,1.0,2.0,44494461.40733516,17.035011719814015,25.557653120691498
2020-03-17,68.0,3.0,2.0,44494453.166773856,20.087209063732928,30.74601708489987
2020-03-18,79.0,3.0,2.0,44494443.44053624,23.689680378668005,36.869783383670836
2020-03-19,97.0,3.0,3.0,44494431.97123155,27.937759185803337,44.091009270292595
2020-03-20,128.0,3.0,3.0,44494418.44595017,32.947341300063414,52.60670852815805
2020-03-21,158.0,3.0,4.0,44494402.503139324,38.85233989576426,62.64452077904787
2020-03-22,266.0,3.0,4.0,44494383.737744026,45.80278192692816,74.4594740507362
2020-03-23,301.0,3.0,4.0,44494361.63282786,53.99013147145949,88.3770406691886
2020-03-24,387.0,52.0,6.0,44494335.55866321,63.64762666593796,104.79371012430965
2020-03-25,387.0,52.0,8.0,44494304.77273122,75.05027970561862,124.17698906994286
2020-03-26,502.0,63.0,9.0,44494268.419721834,88.5148768444319,147.0654013238708
2020-03-27,589.0,72.0,13.0,44494225.53153374,104.39997839498349,174.068487867815
2020-03-28,690.0,72.0,18.0,44494174.994445175,123.11807233431534,205.88748248936037
2020-03-29,745.0,72.0,19.0,44494115.3703543,145.20176695834186,243.4278787408963
2020-03-30,820.0,228.0,23.0,44494045.190744966,171.19498635653392,287.61426867584396
2020-03-31,1054.0,240.0,27.0,44493962.59315704,201.78753943806527,339.61930352288596
2020-04-01,1054.0,248.0,28.0,44493865.247291915,237.8424744446408,400.9102336410489
2020-04-02,1133.0,256.0,36.0,44493750.35501253,280.39607895049664,473.24890851970304
2020-04-03,1265.0,266.0,39.0,44493614.65034336,330.6578798624005,558.6917767785628
2020-04-04,1451.0,279.0,43.0,44493454.39947041,390.0106434196507,659.5898861676869
2020-04-05,1451.0,280.0,44.0,44493265.400741234,460.01037519407737,778.588883567477
2020-04-06,1554.0,325.0,48.0,44493042.70143279,542.4910109615977,918.8075562478695
2020-04-07,1628.0,338.0,56.0,44492780.015279576,639.7800965722022,1084.2046238452035
2020-04-08,1715.0,358.0,63.0,44492470.92969914,754.2529222042318,1278.8173786518212
