,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-03-01,1.0,0.0,0.0,2951776.0,2.0,0.0
2020-03-02,1.0,0.0,0.0,2951775.739594937,2.260405041888327,2.1275483959869745e-08
2020-03-03,1.0,0.0,0.0,2951775.4452807596,2.554719195220366,4.532139564747802e-08
2020-03-04,1.0,0.0,0.0,2951775.1124848407,2.8875150867605455,7.251132710701425e-08
2020-03-05,1.0,0.0,0.0,2951774.7364514465,3.2635484501492837,1.0323382961792874e-07
2020-03-06,1.0,0.0,0.0,2951774.3117331574,3.6882667045453204,1.3793396640829397e-07
2020-03-07,1.0,0.0,0.0,2951773.831906858,4.168092965005529,1.7713651757954643e-07
2020-03-08,1.0,0.0,0.0,2951773.289573736,4.710426042484919,2.2144598010648648e-07
2020-03-09,1.0,0.0,0.0,2951772.6763592847,5.323640443836631,2.715465678372787e-07
2020-03-10,1.0,0.0,0.0,2951771.9829133,6.017086371811942,3.282022114934513e-07
2020-03-11,1.0,0.0,0.0,2951771.1989098825,6.801089725060262,3.9225655866989687e-07
2020-03-12,4.0,0.0,0.0,2951770.313042018,7.686957517592311,4.646334166704525e-07
2020-03-13,8.0,0.0,0.0,2951769.3110630484,8.688936405017296,5.464967860844587e-07
2020-03-14,18.0,0.0,0.0,2951768.1787577407,9.821241620373222,6.390080801388289e-07
2020-03-15,26.0,0.0,0.0,2951766.900904523,11.099094733264959,7.434109195131624e-07
2020-03-16,52.0,0.0,0.0,2951765.4587980704,12.54120106829084,8.612335677475544e-07
2020-03-17,78.0,1.0,0.0,2951763.8302493007,14.169749705042651,9.942889312425974e-07
2020-03-18,84.0,1.0,0.0,2951761.9895853773,16.01041347810563,1.1446745592593792e-06
2020-03-19,115.0,1.0,0.0,2951759.9076497084,18.092348977058467,1.3147726439194857e-06
2020-03-20,136.0,1.0,0.0,2951757.5518019465,20.448196546473323,1.507250020204998e-06
2020-03-21,160.0,1.0,0.0,2951754.885917989,23.114080285915787,1.7250581659584936e-06
2020-03-22,194.0,2.0,0.0,2951751.870389979,26.12960804994493,1.9714332018830474e-06
2020-03-23,235.0,2.0,0.0,2951748.462126302,29.53787144811327,2.249895891542231e-06
2020-03-24,249.0,14.0,0.0,2951744.6135779116,33.3864195239719,2.5643312355808707e-06
2020-03-25,265.0,16.0,0.0,2951740.258446429,37.74155065099903,2.9201566807574766e-06
2020-03-26,290.0,18.0,1.0,2951735.3393325238,42.660664154057415,3.3220617427304468e-06
2020-03-27,329.0,28.0,1.0,2951729.791581286,48.20841493842966,3.775328644849324e-06
2020-03-28,407.0,30.0,1.0,2951723.5346641517,54.46533156167418,4.286536830131545e-06
2020-03-29,424.0,30.0,3.0,2951716.472178903,61.5278162336252,4.863562961262442e-06
2020-03-30,482.0,30.0,3.0,2951708.491849668,69.50814481639276,5.515580920595243e-06
2020-03-31,532.0,30.0,3.0,2951699.4655269226,78.53446682436268,6.253061810151069e-06
2020-04-01,571.0,31.0,4.0,2951689.249187488,88.75080542419661,7.087773951618938e-06
2020-04-02,663.0,33.0,7.0,2951677.6829345324,100.31705743483198,8.03278288635576e-06
2020-04-03,736.0,43.0,7.0,2951664.59099757,113.40899332748207,9.102451375386344e-06
2020-04-04,770.0,43.0,7.0,2951649.781732462,128.2182572256359,1.0312439399403394e-05
2020-04-05,822.0,57.0,7.0,2951633.0476214155,144.95236690505834,1.1679704158767498e-05
2020-04-06,833.0,62.0,8.0,2951614.1589822983,163.8410044789716,1.3223015422231843e-05
2020-04-07,853.0,87.0,8.0,2951592.7798705394,185.22011449119424,1.496984222955258e-05
2020-04-08,881.0,114.0,9.0,2951568.6335002477,209.36648280996224,1.6942794677483162e-05
2020-04-09,921.0,138.0,10.0,2951541.4103143993,236.58966643363425,1.9167157460290322e-05
2020-04-10,937.0,149.0,12.0,2951510.7202236336,267.27975469199487,2.1674803201317295e-05
