,dewp_rsme,gust_rsme,mxpsd_rsme,prcp_rsme,temp_rsme
FL,0.15553824969710614,0.07394834415002055,0.08382079234070554,0.20423176856447384,0.1093608642210304
KY,0.1774995251640333,0.11256773897811884,0.12729262961427742,0.23331211652876432,0.10639921425021061
OH,0.12679028760076969,0.11856712192805804,0.13588358101542838,0.2691933526183824,0.093714748096601
NH,0.15395671228631197,0.14224419815852496,0.1605799233708619,0.15424260290244157,0.09925432586003355
UT,0.07839404058631785,0.09913698646702931,0.1180078650251258,0.2321202194102292,0.06193978431572912
AL,0.1616650947557073,0.10620005052605258,0.12655323682208297,0.2536671105466345,0.09624829270838735
NC,0.16784041650593934,0.10013768092880282,0.13491665578814682,0.15728056140550492,0.10976374149476642
MT,0.12307535362064005,0.1123616759627744,0.13883133453679267,0.26818428908813,0.09981963802010803
NJ,0.13973923366124175,0.13369083181026534,0.16065471808915918,0.14498621050920688,0.08251240292161313
PR,0.03797895611002117,0.07388761922727016,0.08881987737720141,0.29593586089427754,0.03425309399011366
TX,0.1327475664096297,0.10017446367797858,0.10120186547066752,0.2272035253243884,0.12807249302285253
NM,0.0910985471885881,0.08624221260971937,0.09953884597056352,0.20699361347562692,0.06521908077627223
MO,0.12504556313565918,0.0967432614421054,0.11920441614653825,0.25671139135239157,0.09685907489364473
WI,0.11996359118687219,0.08502353425149915,0.121715405667503,0.21253696638553243,0.09233745917486204
CO,0.09241322164560836,0.07472355928520746,0.09949308871163748,0.24490273569471188,0.08466215483280404
MS,0.14474215769109552,0.11505055125689714,0.13550822888459269,0.2829812923880272,0.09367892359362057
GA,0.1639337325481488,0.08765630156399251,0.12008224965521926,0.2824372155117052,0.10297400004442489
AR,0.1369201503533258,0.0989106441184618,0.11182831673107774,0.2121915435525527,0.09380579653514677
DC,,,0.14123628238336208,,0.07744900086659241
AZ,0.08466709009617862,0.07937239472669931,0.11965307465801787,0.18153218155309853,0.046782759878414445
LA,0.1398112009570088,0.09569452968679405,0.11824660692012826,0.2373077011636034,0.27902996228275145
AK,0.1325957577122218,0.07980024159414807,0.11464337016604789,0.1127253919837059,0.09597522132631851
MI,0.10361258789625795,0.1083824291857111,0.11727193169951527,0.1859398451915847,0.07588415544200106
NV,0.08318186151770068,0.10337379513281754,0.10951481824690047,0.20669607890918068,0.0541292683362058
TN,0.14534108057168382,0.14627857691487,0.14369148292395464,0.2606382855730573,0.10213868733722924
WY,0.11041759673588884,0.1040209512835466,0.12294500647054063,0.2008590426058426,0.09269340771607758
NY,0.12886793972307828,0.10070151366190408,0.1341086963774393,0.2249619466335668,0.08696781737741253
VA,0.15308518209562122,0.10018107356858381,0.12226450318674895,0.16775328740243078,0.09669516112201629
WV,0.14934306301394293,0.12969264658654037,0.15895895626787396,0.24762325081562328,0.11327482807827641
VT,0.14629824407862355,0.11867371908647847,0.1496240866428888,0.2573389635896335,0.11042681026199917
ND,0.14731663384844745,0.1038203263725382,0.11694890381333446,0.3014171998553926,0.12340118465916135
CT,0.14801659580872897,0.12859902887514624,0.1469575708196289,0.18324631239143938,0.08215229164437818
NE,0.10730667292467871,0.09961343548177859,0.11977853808699107,0.21200139765823614,0.09713754652495238
OR,0.08223688130465255,0.10359003621668497,0.10991263375622115,0.2322675881284557,0.055475054122036176
MD,0.14059467287925662,0.11393377046065285,0.13107478081031446,0.28134949139847276,0.08130424111198789
SC,0.114147255637806,0.08097263878816224,0.10988707474973221,0.10422529707439397,0.048229013293316275
PA,0.1368428222327742,0.12230617873931197,0.14731853534938263,0.31478440416183284,0.08868845972189923
IN,0.12206593328427114,0.11704607625295697,0.1386683214970609,0.25703183046922157,0.09432139057966718
MN,0.1453301281287847,0.09990111426045142,0.12719274999693936,0.2932297276049735,0.11542705173267831
ME,0.14863169715791064,0.10865123357641031,0.14061113975095121,0.15232160779405413,0.10379951270948633
WA,0.08009372182839838,0.1279167669253299,0.16304270004246765,0.14958981521101042,0.06537965010408688
IL,0.11654861710051836,0.10942658176785668,0.13722100754391137,0.174037602853943,0.09171132860836399
VI,0.060409222598392376,0.05469683509974609,0.06971918719714418,0.01716747310432365,0.0382943684842591
HI,0.06687339385173637,0.11476114703682326,0.11286562739491462,0.16836621296758514,0.044337484115623535
KS,0.10412364998117937,0.11373009005700002,0.1292597126265076,0.1620178940610468,0.0890859765721138
SD,0.11456371119612928,0.10715561770964496,0.12173141666153428,0.20181553249769058,0.10600493271825126
OK,0.11600723773642664,0.10674638853959612,0.12516966850938982,0.24061885092971355,0.09115250213974853
CA,0.07958409201382306,0.08687736989348388,0.11002436454110662,0.17603045629287886,0.0891671812874658
RI,0.14476309951504993,0.10901426612270343,0.12027968611439775,0.13787197610600313,0.08258055009630924
IA,0.12209288070031386,0.14095875789258702,0.15673631004617564,0.28444555864332227,0.10076686682999104
MA,0.1451131473227211,0.12992450684157514,0.1510683994674007,0.2805442654154287,0.08790290644076847
ID,0.09969593514942814,0.11079331313358871,0.12826810962963067,0.18854690485742726,0.06513496964979908
DE,0.14702806278650918,0.1279435756050996,0.14763416582971695,0.061847479357558646,0.08004717342013298
